FlightDate,airport,ArrDelay,DepDelay,Cancelled,Diverted,period
2000-01-06,MCO,1.0,-3.0,False,False,other
2000-01-07,MCO,-2.0,-1.0,False,False,other
2000-01-08,MCO,-10.0,-3.0,False,False,other
2000-01-09,MCO,3.0,4.0,False,False,other
2000-01-10,MCO,8.0,-4.0,False,False,other
2000-01-11,MCO,-12.0,-5.0,False,False,other
2000-01-12,MCO,-8.0,-1.0,False,False,other
2000-01-13,MCO,-1.0,-3.0,False,False,other
2000-01-14,MCO,-4.0,-5.0,False,False,other
2000-01-15,MCO,-7.0,-7.0,False,False,other
2000-01-16,MCO,-5.0,-1.0,False,False,other
2000-01-17,MCO,3.0,-3.0,False,False,other
2000-01-18,MCO,,,True,False,other
2000-01-19,MCO,-1.0,-3.0,False,False,other
2000-01-20,MCO,,,True,False,other
2000-01-21,MCO,13.0,0.0,False,False,other
2000-01-22,MCO,5.0,3.0,False,False,other
2000-01-23,MCO,13.0,-3.0,False,False,other
2000-01-24,MCO,-14.0,-4.0,False,False,other
2000-01-25,MCO,,,True,False,other
2000-01-26,MCO,,,True,False,other
2000-01-27,MCO,,,True,False,other
2000-01-28,MCO,30.0,0.0,False,False,other
2000-01-29,MCO,-8.0,-4.0,False,False,other
2000-01-30,MCO,,,True,False,other
2000-01-31,MCO,-13.0,-2.0,False,False,other
2000-01-01,MCO,-2.0,-2.0,False,False,other
2000-01-02,MCO,116.0,127.0,False,False,other
2000-01-03,MCO,17.0,20.0,False,False,other
2000-01-04,MCO,-8.0,0.0,False,False,other
2000-01-05,MCO,-2.0,8.0,False,False,other
2000-01-06,MCO,-17.0,-4.0,False,False,other
2000-01-07,MCO,1.0,-2.0,False,False,other
2000-01-08,MCO,-10.0,-3.0,False,False,other
2000-01-09,MCO,10.0,-2.0,False,False,other
2000-01-10,MCO,-7.0,1.0,False,False,other
2000-01-11,MCO,0.0,-5.0,False,False,other
2000-01-12,MCO,-8.0,-4.0,False,False,other
2000-01-13,MCO,8.0,9.0,False,False,other
2000-01-14,MCO,-7.0,-3.0,False,False,other
2000-01-15,MCO,-6.0,-7.0,False,False,other
2000-01-16,MCO,-5.0,-4.0,False,False,other
2000-01-17,MCO,-6.0,-2.0,False,False,other
2000-01-18,MCO,-3.0,-3.0,False,False,other
2000-01-19,MCO,3.0,-1.0,False,False,other
2000-01-20,MCO,1.0,-2.0,False,False,other
2000-01-21,MCO,-3.0,-3.0,False,False,other
2000-01-22,MCO,1.0,-3.0,False,False,other
2000-01-23,MCO,-2.0,0.0,False,False,other
2000-01-24,MCO,73.0,29.0,False,False,other
2000-01-25,MCO,,,True,False,other
2000-01-26,MCO,,,True,False,other
2000-01-27,MCO,,,True,False,other
2000-01-28,MCO,29.0,-2.0,False,False,other
2000-01-29,MCO,-10.0,-5.0,False,False,other
2000-01-30,MCO,,,True,False,other
2000-01-31,MCO,-4.0,-2.0,False,False,other
2000-01-01,MCO,1.0,-1.0,False,False,other
2000-01-02,MCO,8.0,12.0,False,False,other
2000-01-03,MCO,5.0,-2.0,False,False,other
